runtime: Lune 0.10.5+709 (Luau native codegen for required modules; comparable to Roblox --!native)

| case | scenario | agents | us/agent-tick | B/agent-tick | KB/agent (add + 1st tick) |
| closure_batch | reactive | 10 | 0.080 | 0 | 0.14 |
| flat_dispatch_pernode | reactive | 10 | 0.105 | 0 | 0.28 |
| flat_batch | reactive | 10 | 0.099 | 0 | 0.18 |
| flat_batch_buffer | reactive | 10 | 0.101 | 0 | 0.16 |
| baseline | reactive | 100 | 1.691 | 289 | 4.31 |
| oop_shared_alias | reactive | 100 | 0.209 | 0 | 0.32 |
| closure_single | reactive | 100 | 0.069 | 0 | 0.10 |
| closure_batch | reactive | 100 | 0.056 | 0 | 0.17 |
| flat_dispatch_pernode | reactive | 100 | 0.103 | 0 | 0.22 |
| flat_batch | reactive | 100 | 0.060 | 0 | 0.18 |
| flat_batch_buffer | reactive | 100 | 0.068 | 0 | 0.28 |
| baseline | reactive | 1000 | 1.785 | 288 | 4.30 |
| oop_shared_alias | reactive | 1000 | 0.203 | 0 | 0.26 |
| closure_single | reactive | 1000 | 0.074 | 0 | 0.08 |
| closure_batch | reactive | 1000 | 0.050 | 0 | 0.14 |
| flat_dispatch_pernode | reactive | 1000 | 0.104 | 0 | 0.18 |
| flat_batch | reactive | 1000 | 0.057 | 0 | 0.14 |
| flat_batch_buffer | reactive | 1000 | 0.066 | 0 | 0.24 |
